Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Воблий,Веніямин,Олександрович,Чоловік,1989-01-18,Композитор,село Ірміно,"набережна Соляний 1-й, буд. 965, Костопіль, 25013",+380 86 749-16-07,marko35@example.org
Приходько,Йосип,Тимофійович,Чоловік,1972-06-04,Редактор,селище Ровеньки,"сквер Локомотивний 2-й, буд. 511, Тараща, 87340",+380 (16) 918-20-63,arsen48@example.net
Чумак,Єлисей,Степанович,Чоловік,2000-04-02,М'ясник,село Тлумач,"вулиця Цукровий, буд. 51 кв. 560, Бориспіль, 80796",+380 70 620-45-78,havrylo15@example.com
Шинкаренко,Нестор,Миколайович,Чоловік,1956-06-12,Соціолог,село Дергачі,"проспект Новоберегова, буд. 35, Тульчин, 24303",016 699 55 98,rivasiuk@example.net
Носаченко,Роман,Петрович,Чоловік,1956-06-09,Гицель,село Коростень,"провулок Тюльпанний, буд. 4 кв. 78, Кролевець, 71828",016 045-03-83,orysiabezborodko@example.net
Вітер,Іван,Васильович,Чоловік,1964-03-08,Нотаріус,селище Шептицький,"узвіз Валерія Лобановського, буд. 18, Дніпро, 80652",290 68 26,mykhailyna69@example.com
Засуха,Дан,Богданович,Чоловік,1997-12-19,Кур'єр,селище Саки,"набережна Компасний, буд. 94, Благовіщенське, 36034",046 499-63-72,iryna69@example.com
Прокопович,Костянтин,Олександрович,Чоловік,1940-09-03,Головний меркшейдер,селище Вижниця,"парк Монастирський, буд. 5 кв. 667, Чистякове, 26593",+380 73 671-89-69,isaienkoleonid@example.com
Ґалаґан,Сергій,Юрійович,Чоловік,2002-04-04,Золотар,село Городок,"узвіз Чорноморський 13-й, буд. 849, Баранівка, 74160",719-52-09,nadiia51@example.org
Медведенко,Олекса,Романович,Чоловік,1976-03-30,Мистецтвознавець,хутір Хорол,"проспект Спиридонівська, буд. 0, Пологи, 45325",068 184 70 14,vasylenkoolha@example.org
Онищенко,Дмитро,Максимович,Чоловік,1995-03-27,Економіст,село Гірник,"набережна Халайджогло, буд. 40 кв. 211, Рожище, 02826",331-76-23,khupalo@example.com
Скопенко,Орхип,Юрійович,Чоловік,2006-12-22,Астроном,село Кам'янка (Черкаська область),"парк Лучиста, буд. 545 кв. 302, Яворів, 49895",058-30-64,milenavovk@example.org
Фаренюк,Геннадій,Арсенійович,Чоловік,1977-12-18,Біолог,село Біляївка,"проспект Пiвденний, буд. 1 кв. 2, Добропілля, 13993",760-03-45,lahodaalbina@example.org
Іваненко,Андрій,Арсенійович,Чоловік,1991-07-20,Літературознавець,місто Сквира,"провулок Отамана Головатого, буд. 163, Збараж, 35927",+380 67 578 07 17,pkhorishko@example.com
Онищенко,Спас,Андрійович,Чоловік,1951-08-04,Маркетолог,село Погребище,"сквер Депутатський, буд. 9 кв. 1, Рогатин, 67380",600-05-59,vasylynagoliash@example.net
Шаповал,Зорян,Романович,Чоловік,1975-08-03,Дипломат,село Часів Яр,"проспект Леонтовича, буд. 413 кв. 52, Українськ, 81125",+380 08 291-65-81,piatachenkooleh@example.org
Гаврилець,Пилип,Петрович,Чоловік,1997-08-14,Кіноактор,місто Тернівка,"шосе Карпатська, буд. 115, Мирноград, 65973",803 07 83,qbazavluchenko@example.org
Ярема,Едуард,Іванович,Чоловік,1941-04-07,Ювелір,місто Краматорськ,"набережна Сирітський 2-й, буд. 024, Радомишль, 33450",+380 04 120-35-34,marusia41@example.net
Корбут,Олесь,Романович,Чоловік,1988-07-06,Кінокритик,хутір Камінь-Каширський,"проспект Платанова, буд. 07 кв. 84, Кодима, 28741",802-72-35,snizhanaadamenko@example.net
Бабенко,Тимофій,Арсенійович,Чоловік,1961-03-24,Няня,хутір Погребище,"набережна Промислова, буд. 727 кв. 997, Арциз, 51258",+380 44 746 50 27,anastasiiatsymbal@example.net
Негода,Варфоломій,Миколайович,Чоловік,1966-04-08,Режисер,селище Брянка,"сквер Улицька, буд. 355 кв. 5, Мостиська, 31504",070 570-43-88,viacheslavolifirenko@example.org
Рудик,Леон,Євгенович,Чоловік,1953-04-18,Бібліотекар,хутір Світлодарськ,"вулиця Савранський, буд. 0 кв. 9, Керч, 85598",069 822 17 64,zhaivoronoles@example.com
Франчук,Георгій,Володимирович,Чоловік,1984-12-08,Драматург,місто Кам'янка-Дніпровська,"шосе Залізничний 3-й, буд. 2, Буча, 92481",+380 66 781 46 30,lkomar@example.com
Ґерета,Борис,Євгенович,Чоловік,1960-11-21,Редактор,хутір Сокаль,"провулок 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 3 кв. 81, Ромни, 72827",+380 81 498-24-58,vadymbazavluchenko@example.net
Гузь,Франц,Олексійович,Чоловік,1942-04-17,Ювелір,село Старобільськ,"сквер тупик Хвиля, буд. 36 кв. 3, Остер, 86664",+380 73 584-65-12,dbabenko@example.com
Онищенко,Леопольд,Петрович,Чоловік,1963-05-02,Штукатур,місто Яворів,"проспект Всеволода Змієнка, буд. 39 кв. 579, Гнівань, 16399",+380 60 857-25-06,milena46@example.org
Андрощук,Данило,Петрович,Чоловік,1987-08-08,Дипломат,село Балаклія,"проспект Степана Олійника узвіз, буд. 3 кв. 23, Фастів, 71971",411-25-36,shynkarenkovolodymyra@example.net
Олійник,Ілля,Євгенович,Чоловік,1965-11-12,Флорист,хутір Мар'їнка,"площа Мирослава Скорика, буд. 7 кв. 715, Ірміно, 48909",502-35-09,isaievychroman@example.com
Бгиденко,Захар,Дмитрович,Чоловік,1976-05-28,Бібліограф,село Южне,"узвіз Самодіяльна, буд. 615 кв. 94, Жидачів, 90423",505 34 26,taraschumak@example.net
Демʼяненко,Азар,Дмитрович,Чоловік,1941-06-15,Продюсер,місто Ямпіль,"парк Косий, буд. 41, Звенигородка, 62629",+380 49 301-04-97,zharkoiaroslav@example.com
Шморгун,Антон,Юрійович,Чоловік,1996-01-30,Гицель,хутір Бердянськ,"парк Преображенська, буд. 977 кв. 03, Олевськ, 03031",730-39-46,svystunrostyslav@example.net
Рудько,Стефан,Сергійович,Чоловік,1966-02-18,Стропальник,хутір Шептицький,"парк Лінія 33-тя, буд. 9 кв. 47, Виноградів, 20956",416 04 50,anzhela94@example.com
Якимчук,Орест,Петрович,Чоловік,1988-03-15,Електромонтер,селище Суми,"парк Іванова Ігоря, буд. 8, Довжанськ, 91320",092 402 78 28,qbaklan@example.net
Батюк,Валентин,Володимирович,Чоловік,1940-07-29,Редактор,селище Заліщики,"шосе Паркова, буд. 5 кв. 172, Кролевець, 34924",357 41 19,milena31@example.org
Батуринець,Герман,Павлович,Чоловік,1941-01-21,Різноробочий,хутір Кременчук,"площа Лінія 44-та, буд. 484, Синельникове, 52454",426 04 66,hordiishcherbak@example.net
Дараган,Станіслав,Володимирович,Чоловік,1993-04-11,Фермер,село Голубівка,"набережна Архітекторська, буд. 853 кв. 81, Кремінна, 31096",052 630-83-31,stefan74@example.net
Дзиндра,Лукʼян,Петрович,Чоловік,1960-03-22,Науковець,село Сколе,"площа Ромашкова, буд. 9 кв. 251, Вінниця, 84615",+380 44 656 11 95,iefrem55@example.org
Оберемко,Тарас,Арсенійович,Чоловік,2000-08-31,Антрополог,село Лозова,"сквер Побратимів, буд. 16, Лозова, 82723",046 718 12 82,eibozhenkohordii@example.org
Яремчук,Яків,Іванович,Чоловік,1990-07-11,Адвокат,селище Жмеринка,"сквер Сергія Шелухина, буд. 8 кв. 253, Харцизьк, 89683",013 700 97 27,opanashabelko@example.org
Захаренко,Зиновій,Петрович,Чоловік,1947-10-17,Єгер,село Бобровиця,"парк Уральський, буд. 6, Лозова, 68951",010 336-91-12,nivasiuk@example.net
